main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,B,F150W,F200W,F444W,G,H,I,J,K,R,U,V,g,i,r,u,z,user_specified_id,object_number_id,AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
* alf Ori,88.79293899077537,7.407063995272694,9.040423,5.716997,90,O,2007A&A...474..653V,2.2699999809265137,,,,,-3.7300000190734863,-2.450000047683716,-3.0,-4.050000190734863,-1.1699999570846558,4.380000114440918,0.41999998688697815,,,,,,Betelgeuse,1,J055510.25+072424.4,88.7927487,7.4067993,Im,-1.373,0.019,1.747,,-2.506,,-4.98,0.003,-2.989,0.103,-4.007,0.162,-4.378,0.186,dddd,1,6nnn,1522,32,716,30,AUUA,1.179,2M
* eps UMa,193.5072899675,55.95982295694445,0.16,0.15,90,O,2007A&A...474..653V,1.75,,,,1.7316099405288696,1.6979999542236328,1.8200000524520874,1.7130000591278076,1.625,1.7899999618530273,1.7599999904632568,1.7699999809265137,,,,,,Alioth    ,2,J125401.95+555735.4,193.5081339,55.9598359,Im,-0.539,,0.058,,1.972,0.025,1.746,0.015,1.713,0.246,1.698,0.186,1.625,0.266,hh00,0,nn40,2389,38,624,42,UUAA,2.111,2M
* bet Ori,78.63446706693006,-8.201638364722209,3.5128336,2.636878,90,O,2007A&A...474..653V,0.10000000149011612,,,,,0.20000000298023224,0.15000000596046448,0.2199999988079071,0.18000000715255737,0.12999999523162842,-0.5600000023841858,0.12999999523162842,,,,,,Rigel     ,3,J051432.27-081205.9,78.6344891,-8.2016413,Im,-2.133,,-1.682,,0.07,0.203,-0.055,0.01,0.206,0.228,0.176,0.352,0.213,0.396,hh00,0,nn00,-132,124,-176,112,UUBA,0.187,2M
* alf Cen A,219.90205833170774,-60.83399268831004,34.17567,28.45653,90,O,2007A&A...474..653V,0.7200000286102295,,,,,-1.8860000371932983,,-1.4539999961853027,-2.007999897003174,,0.9599999785423279,0.009999999776482582,,,,,,alf Cen A ,4,J143938.59-604938.3,219.9108166,-60.8273106,Im,3.586,0.086,2.236,0.051,5.297,0.018,4.794,0.045,,,,,,,dddH,1,nn4n,-806,25,-625,24,AAAA,,2M
