AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J051432.81-081404.4,78.6367333,-8.2345627,Im,13.047,0.026,12.511,0.025,8.902,0.038,8.712,,,,,,,,HHdH,1,nn4n,1031,93,465,101,AAAU,,2M
J051438.18-081155.6,78.6591049,-8.1987882,Im,11.181,0.021,11.503,0.022,8.140,0.024,8.604,,,,,,,,HHdH,1,nn7n,180,50,722,50,AAAU,,2M
J051432.27-081205.9,78.6344891,-8.2016413,Im,-2.133,,-1.682,,0.070,0.203,-0.055,0.010,0.206,0.228,0.176,0.352,0.213,0.396,hh00,0,nn00,-132,124,-176,112,UUBA,0.187,2M
J051424.99-081219.7,78.6041282,-8.2054827,Im,11.885,0.025,12.252,0.025,8.754,0.033,8.792,,,,,,,,HHdH,1,nn4n,-201,56,145,59,AAAU,,2M
J051430.97-081007.6,78.6290466,-8.1687833,Im,13.142,0.026,12.666,0.026,8.928,0.036,8.608,,,,,,,,HHdH,1,nn1n,0,115,0,115,AAAU,,2M
