AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J055516.01+072302.6,88.8167425,7.3840825,Im,0.766,0.020,2.479,0.027,0.570,0.054,1.544,0.026,,,,,,,dddD,1,3nnn,1893,21,5818,21,AAAA,,2M
J055514.75+072320.6,88.8114597,7.3890693,Im,1.984,0.015,0.955,0.023,1.209,0.085,0.925,0.028,,,,,,,dddd,1,nnn3,24,21,-50,20,AAAA,,2M
J055510.60+072426.3,88.7941846,7.4073081,Im,-1.377,0.003,3.397,,0.280,,-5.515,0.001,,,,,,,hhhh,1,3nnn,0,23,0,22,AUUA,,2M
J055510.25+072424.4,88.7927487,7.4067993,Im,-1.373,0.019,1.747,,-2.506,,-4.980,0.003,-2.989,0.103,-4.007,0.162,-4.378,0.186,dddd,1,6nnn,1522,32,716,30,AUUA,1.179,2M
J055507.55+072404.5,88.7814772,7.4012500,Im,5.342,,5.273,,1.120,,-1.563,0.010,,,,,,,DDDd,1,nnnn,0,20,0,20,UUUA,,2M
J055514.57+072530.3,88.8107417,7.4250875,Im,2.542,0.022,1.135,0.024,1.170,0.079,0.646,0.026,,,,,,,dddd,1,nnn3,46,20,69,20,AAAA,,2M
