main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,B,F150W,F200W,F444W,G,H,I,J,K,R,U,V,g,i,r,u,z,user_specified_id,object_number_id
* alf Ori,88.79293899077537,7.407063995272694,9.040423393249512,5.716997146606445,90,O,2007A&A...474..653V,2.2699999809265137,,,,,-3.7300000190734863,-2.450000047683716,-3.0,-4.050000190734863,-1.1699999570846558,4.380000114440918,0.41999998688697815,,,,,,Betelgeuse,1
* alf CMi,114.82549790798149,5.224987557059477,18.051620483398438,10.077519416809082,90,O,2007A&A...474..653V,0.7900000214576721,,,,,-0.5600000023841858,-0.2800000011920929,-0.38999998569488525,-0.6499999761581421,-0.05000000074505806,0.8199999928474426,0.3700000047683716,,,,,,Procyon   ,2
* eps UMa,193.5072899675,55.95982295694445,0.1599999964237213,0.15000000596046448,90,O,2007A&A...474..653V,1.75,,,,1.7316099405288696,1.6979999542236328,1.8200000524520874,1.7130000591278076,1.625,1.7899999618530273,1.7599999904632568,1.7699999809265137,,,,,,Alioth    ,3
* bet Ori,78.63446706693006,-8.201638364722209,3.512833595275879,2.63687801361084,90,O,2007A&A...474..653V,0.10000000149011612,,,,,0.20000000298023224,0.15000000596046448,0.2199999988079071,0.18000000715255737,0.12999999523162842,-0.5600000023841858,0.12999999523162842,,,,,,Rigel     ,4
* alf Cen A,219.90205833170774,-60.83399268831004,34.1756706237793,28.45652961730957,90,O,2007A&A...474..653V,0.7200000286102295,,,,,-1.8860000371932983,,-1.4539999961853027,-2.007999897003174,,0.9599999785423279,0.009999999776482582,,,,,,alf Cen A ,5
